Attendance_Percentage,Study_Hours_Per_Day,Previous_Academic_Marks,Internal_Assessment_Marks,Assignment_Score,Practical_Lab_Score,Number_of_Backlogs,Previous_Semester_GPA,Sleep_Hours,Internet_Access,Parental_Education,Extracurricular_Activities,Class_Participation,Assignment_Submission_Rate,Performance_Category
76.78,5.88,72.2,77.87,82.82,61.3,2,8.71,7.3,1,2,1,72.79,92.49,Good
72.36,7.12,74.08,79.92,83.8,70.63,0,6.87,8.6,1,1,0,75.16,84.14,Good
63.95,4.04,68.17,35.3,59.87,57.15,3,6.54,5.9,1,3,1,65.09,67.16,Average
68.3,3.91,54.22,73.59,48.42,57.53,3,8.47,6.4,1,2,0,50.25,86.49,Average
85.92,9.66,91.26,95.63,94.23,95.62,0,8.71,6.6,1,2,1,93.12,92.8,Excellent
58.98,3.79,64.75,56.74,54.87,71.32,1,6.77,5.4,1,3,1,41.95,76.34,Average
71.76,6.85,49.61,51.69,67.18,67.04,1,5.73,5.1,0,3,1,42.16,62.33,Average
78.66,7.2,80.07,85.41,79.88,73.22,0,8.65,8.9,1,2,1,70.62,83.21,Good
86.69,7.44,72.24,80.65,81.87,79.0,0,7.84,8.5,0,4,0,66.76,99.11,Good
85.06,7.67,83.55,80.13,79.18,74.38,0,7.2,10.0,1,2,0,74.99,86.24,Good
39.13,2.47,44.83,46.66,33.67,39.27,8,6.35,5.8,1,3,0,51.22,56.18,Poor
45.61,1.59,38.22,41.36,28.02,49.25,6,4.96,5.5,1,3,1,43.19,55.9,Poor
47.62,1.03,47.66,39.16,21.44,45.26,8,3.55,9.2,1,1,0,38.35,56.96,Poor
46.58,2.26,41.3,28.89,43.89,23.41,6,6.02,5.6,0,2,1,32.94,62.8,Poor
69.55,1.63,64.28,51.57,62.46,56.02,2,6.23,6.7,1,1,1,44.37,77.94,Average
54.45,0.81,47.2,43.96,24.71,39.74,4,4.59,7.9,1,2,0,27.94,58.99,Poor
91.19,10.72,79.38,100.0,96.66,93.24,0,8.93,7.6,1,1,0,92.78,93.29,Excellent
75.19,5.47,75.97,64.71,80.34,76.25,0,7.38,8.9,1,2,0,76.06,86.31,Good
42.64,0.99,31.78,42.46,34.55,46.74,5,4.07,6.3,1,0,1,38.8,62.56,Poor
85.25,7.24,71.65,78.28,71.91,64.69,0,7.01,5.3,1,3,0,74.93,74.18,Good
70.36,5.32,79.17,73.39,72.69,80.72,0,7.94,9.0,1,4,1,69.24,82.37,Good
91.89,8.3,94.6,97.51,98.45,94.33,2,10.0,9.1,1,3,1,94.03,98.35,Excellent
79.48,6.21,72.99,69.45,78.64,74.77,1,8.43,6.6,1,1,1,78.3,83.43,Good
80.02,9.34,83.38,66.7,83.11,75.06,0,9.29,8.2,1,3,0,83.4,77.19,Good
81.68,9.38,82.03,83.29,81.29,66.77,1,7.71,5.5,1,2,1,78.52,83.77,Good
92.37,11.25,93.61,90.44,99.17,89.06,0,10.0,4.0,1,2,1,92.09,91.97,Excellent
59.41,6.21,75.34,60.32,52.59,50.32,4,6.4,8.0,0,1,1,74.14,55.71,Average
89.61,6.39,94.06,100.0,85.85,92.78,0,9.04,6.5,1,2,1,90.23,88.82,Excellent
61.01,6.34,57.61,55.39,60.46,60.28,1,5.81,7.2,1,2,1,55.17,78.8,Average
94.78,10.6,92.21,88.82,93.07,84.5,0,8.34,5.1,1,3,0,97.74,96.06,Excellent
53.35,2.54,48.23,58.15,57.48,33.51,4,5.96,4.3,1,2,1,30.84,57.38,Poor
85.1,8.03,78.89,74.6,70.48,68.65,2,8.41,6.3,1,2,1,72.27,77.11,Good
63.75,6.91,58.84,60.31,50.57,56.24,3,6.41,8.6,1,2,1,55.81,72.83,Average
85.33,10.33,92.93,90.38,96.46,92.71,0,9.29,5.9,1,1,1,88.93,88.72,Excellent
76.5,7.35,67.57,70.69,81.19,77.41,0,7.21,7.8,1,4,1,75.48,93.2,Good
94.16,11.21,92.88,87.38,95.23,87.52,0,9.23,7.8,1,3,1,85.48,95.46,Excellent
74.86,5.01,74.22,69.94,74.45,80.77,0,7.56,7.1,1,3,0,74.9,87.05,Good
96.6,10.64,92.7,99.66,96.91,90.25,0,8.9,7.8,0,4,0,89.2,93.7,Excellent
44.1,3.06,44.03,48.59,46.38,29.59,7,4.85,7.0,1,2,1,28.3,48.16,Poor
93.54,10.02,96.47,97.37,91.48,91.75,0,8.75,7.4,1,3,1,89.73,91.4,Excellent
70.89,4.72,75.63,76.61,80.53,73.38,1,8.48,7.3,1,2,1,61.31,83.42,Good
78.4,9.66,70.27,65.84,82.05,80.84,0,7.52,8.2,1,2,0,71.43,87.05,Good
94.53,12.0,96.12,92.81,97.8,90.53,0,9.4,5.2,1,3,0,89.96,93.94,Excellent
44.25,0.5,53.07,40.36,43.55,35.21,6,3.63,8.3,0,2,1,44.62,58.94,Poor
47.29,3.46,40.1,43.08,47.02,37.43,6,4.38,5.3,0,1,1,23.14,50.96,Poor
66.18,6.38,79.73,78.52,73.64,84.69,1,7.5,8.1,0,1,1,68.92,81.76,Good
36.81,2.72,52.83,59.7,30.4,44.59,3,3.57,7.1,1,1,1,24.9,51.29,Poor
49.72,3.36,49.08,48.8,48.97,34.81,5,6.36,5.5,1,3,1,39.5,63.62,Poor
62.47,3.22,52.93,50.17,57.82,67.87,1,5.72,6.7,1,2,0,52.92,60.42,Average
97.27,10.14,93.38,87.67,93.64,98.16,1,8.45,7.8,0,0,1,89.01,88.74,Excellent
49.55,3.19,36.33,35.02,35.9,32.59,6,5.02,5.2,1,3,1,42.32,55.48,Poor
61.3,1.2,43.01,58.27,64.91,61.0,5,4.94,6.6,1,2,0,47.76,58.04,Average
75.17,7.56,74.85,74.21,62.03,67.44,2,6.88,6.9,1,4,1,67.12,78.33,Good
93.21,12.0,94.73,92.6,91.38,95.19,0,8.8,7.0,1,1,0,100.0,99.37,Excellent
72.45,8.07,74.01,67.4,94.24,68.63,0,7.82,8.2,1,2,0,76.05,76.12,Good
94.31,8.78,88.21,84.63,95.53,86.23,1,9.35,6.4,1,1,0,88.88,99.64,Excellent
74.65,8.81,71.53,81.01,76.32,62.67,2,7.06,8.2,1,4,0,72.23,64.5,Good
98.82,9.97,88.64,83.63,90.57,89.41,0,8.59,7.5,1,2,1,96.47,97.67,Excellent
58.68,3.55,52.2,53.67,66.05,56.22,3,6.51,7.2,1,2,1,43.74,68.97,Average
52.22,6.13,57.77,51.11,44.17,55.85,2,6.48,7.2,1,3,0,57.0,69.89,Average
96.06,9.56,79.4,86.05,97.1,81.85,0,9.29,8.1,1,2,0,92.68,86.46,Excellent
74.76,2.69,47.71,56.91,54.99,59.16,2,6.81,4.9,1,3,1,59.27,73.82,Average
75.59,4.86,67.97,75.77,73.49,71.01,0,7.84,7.4,1,2,0,80.1,90.46,Good
51.03,1.58,37.02,48.79,44.91,20.96,0,4.15,6.1,1,1,1,29.71,63.53,Poor
92.08,10.81,91.4,89.28,95.66,100.0,2,9.17,6.5,1,1,1,100.0,91.78,Excellent
36.81,4.14,38.42,44.84,53.59,20.48,7,5.59,7.1,1,2,0,34.71,63.67,Poor
58.5,5.62,59.25,63.52,68.7,63.53,0,5.91,7.0,1,2,1,55.74,62.76,Average
42.15,2.19,31.71,39.13,55.2,47.18,7,5.7,6.6,0,4,1,47.32,53.07,Poor
44.78,1.12,51.78,41.56,28.45,44.5,1,5.14,6.1,1,2,0,32.4,70.46,Poor
70.69,4.56,64.28,72.13,68.31,58.75,2,5.5,7.3,1,3,0,45.53,71.82,Average
100.0,9.85,94.14,97.26,89.95,94.33,1,8.88,7.4,1,1,1,96.82,96.61,Excellent
74.17,5.37,56.44,62.34,60.6,68.55,2,5.76,8.4,1,0,1,67.55,84.08,Average
68.23,7.06,75.75,65.16,77.08,82.61,1,7.92,8.0,1,1,1,74.91,81.06,Good
53.05,2.72,28.66,49.67,59.98,39.37,6,4.63,5.3,0,4,0,39.07,57.95,Poor
91.18,7.76,98.78,90.01,87.66,91.66,0,8.66,10.0,1,4,1,92.65,100.0,Excellent
44.3,1.25,41.66,43.9,39.8,37.26,3,5.53,9.8,1,4,0,37.39,51.31,Poor
84.98,10.4,93.14,90.77,93.33,93.22,1,9.14,8.0,1,0,0,94.42,94.86,Excellent
60.03,7.08,52.86,53.17,56.42,48.28,2,6.33,6.4,1,2,0,57.67,72.05,Average
84.06,9.62,72.1,77.19,81.37,69.55,0,9.91,6.9,1,3,0,76.96,86.81,Good
79.87,6.04,76.18,67.87,88.74,67.01,0,6.59,6.0,0,4,1,71.41,92.77,Good
73.13,5.39,77.25,74.27,83.39,75.94,0,6.66,7.3,1,1,1,94.83,83.27,Good
65.96,2.55,62.62,55.15,60.23,63.58,1,6.62,7.9,1,2,1,71.79,71.4,Average
77.69,4.95,89.46,74.67,77.8,79.6,0,9.92,6.0,1,4,0,73.19,89.57,Good
66.53,5.54,74.3,40.61,59.46,67.53,2,7.13,5.7,0,0,1,66.54,74.25,Average
100.0,7.44,91.79,88.29,100.0,95.49,0,8.95,7.1,1,2,0,84.13,95.56,Excellent
66.01,5.5,64.38,72.17,46.25,48.38,3,5.08,6.5,1,2,1,69.93,59.54,Average
40.13,1.43,44.45,35.24,44.9,31.17,4,5.62,8.4,1,1,0,24.93,47.59,Poor
42.24,1.3,37.27,35.91,34.92,40.67,5,4.1,9.1,1,2,1,37.57,38.27,Poor
36.37,1.52,41.36,25.49,45.71,37.17,6,4.78,4.0,1,0,1,43.73,56.94,Poor
47.58,3.49,57.53,49.22,39.49,57.22,4,6.06,4.2,1,0,0,47.85,78.88,Average
60.31,5.23,63.05,73.93,61.3,49.5,2,6.79,7.6,1,1,1,56.33,81.95,Average
46.24,1.46,65.63,41.23,33.28,49.58,5,4.52,7.0,1,3,0,31.77,67.42,Poor
50.17,2.26,60.09,58.2,54.27,64.48,5,5.6,4.9,1,3,1,71.84,72.78,Average
41.34,2.33,42.52,53.47,39.13,35.97,3,4.98,7.3,1,3,0,25.39,61.13,Poor
93.94,8.09,87.63,72.52,73.42,76.79,0,8.1,5.2,1,2,1,80.28,92.57,Good
56.72,0.78,46.24,29.64,31.09,33.95,4,3.22,6.7,1,1,1,30.61,66.3,Poor
80.93,4.79,57.82,65.71,62.0,61.19,2,6.16,7.2,0,2,0,52.67,68.08,Average
34.43,1.58,46.52,31.87,28.59,39.55,3,5.41,8.8,1,2,0,41.54,65.13,Poor
57.87,2.57,24.57,39.05,46.9,28.25,10,6.61,6.9,1,3,0,39.83,50.24,Poor
98.34,9.25,95.38,84.96,94.92,94.76,0,8.71,8.9,1,0,0,99.01,98.96,Excellent
100.0,10.48,98.61,93.17,93.52,90.83,0,8.87,8.2,1,2,1,92.03,95.46,Excellent
93.19,8.69,92.86,96.19,88.28,92.94,0,9.6,5.3,0,2,0,93.64,98.5,Excellent
40.34,3.06,61.2,32.11,44.27,33.19,4,3.52,8.3,1,3,0,31.37,50.73,Poor
90.19,10.32,100.0,88.61,99.86,99.99,0,8.84,9.7,1,1,0,91.24,96.13,Excellent
87.63,6.64,76.81,83.19,75.61,76.18,1,7.74,6.7,0,2,1,79.78,90.14,Good
77.46,5.35,85.53,82.56,75.58,72.19,0,8.26,5.6,1,2,0,78.14,84.89,Good
47.98,5.84,48.48,43.82,57.09,71.69,4,5.94,6.6,1,2,1,44.44,75.2,Average
89.35,12.0,93.47,97.77,90.36,91.99,0,9.46,8.9,0,0,0,98.34,95.91,Excellent
98.91,11.0,92.3,83.04,85.02,84.58,0,9.1,5.4,1,0,1,90.71,93.79,Excellent
64.21,5.96,75.44,62.66,72.64,48.3,0,6.2,7.2,0,3,0,49.72,80.37,Average
50.66,3.11,50.31,55.52,71.37,58.13,3,4.89,8.4,1,1,1,54.46,74.04,Average
65.83,3.95,57.53,38.1,58.23,65.75,1,5.65,5.6,1,3,0,57.88,70.77,Average
97.29,9.33,94.36,94.98,95.97,90.48,0,8.4,6.5,1,2,0,97.53,93.72,Excellent
45.67,3.9,65.07,60.13,56.9,49.22,1,6.46,6.0,0,3,1,56.13,73.71,Average
98.84,10.74,90.69,96.21,93.54,87.09,0,9.21,7.6,1,2,0,90.22,91.84,Excellent
64.41,4.78,66.36,66.15,55.25,53.07,2,6.79,6.7,1,3,0,60.32,83.94,Average
73.5,5.8,74.07,72.4,77.45,66.41,1,8.42,8.5,1,1,1,82.89,72.37,Good
100.0,8.82,95.95,87.06,93.24,100.0,0,9.73,7.0,1,2,0,91.97,100.0,Excellent
73.07,3.98,60.11,45.62,55.7,66.98,2,6.16,6.3,1,4,1,55.67,78.03,Average
76.98,10.21,78.6,72.47,85.81,80.87,0,6.93,5.4,1,1,1,69.95,100.0,Good
79.91,6.99,72.3,62.75,66.87,89.81,0,8.38,8.0,1,2,0,82.87,82.41,Good
84.1,9.78,90.66,90.2,95.57,89.11,0,9.16,7.1,1,4,0,97.99,97.43,Excellent
45.45,0.66,52.56,41.7,29.86,42.51,8,4.03,5.1,1,2,0,41.47,58.43,Poor
70.96,8.88,81.66,71.56,81.52,77.08,0,7.44,6.9,1,1,0,76.27,89.08,Good
55.23,3.36,46.45,37.9,38.14,43.39,6,4.1,6.3,1,1,1,47.01,68.32,Poor
63.72,6.96,73.07,75.45,74.6,89.31,0,8.1,6.8,1,1,0,78.69,72.7,Good
76.92,6.61,76.74,81.65,85.32,74.21,0,6.98,5.5,1,1,1,70.67,75.45,Good
68.76,4.29,71.1,48.95,55.49,55.04,0,5.57,6.0,0,2,0,51.14,76.75,Average
100.0,10.45,86.82,87.33,97.07,94.43,0,9.6,6.5,1,2,0,82.36,92.46,Excellent
58.76,1.77,35.68,40.53,54.57,42.45,5,3.35,8.0,1,4,1,27.63,48.66,Poor
72.02,4.11,69.15,61.93,50.21,69.4,3,6.37,7.2,1,2,0,49.37,86.04,Average
98.48,7.39,91.51,98.34,96.51,92.56,0,9.54,8.9,0,3,1,94.8,100.0,Excellent
70.53,2.98,54.77,54.06,52.77,43.61,2,6.32,5.8,1,3,1,52.05,59.86,Average
54.69,4.48,51.16,63.23,54.28,57.23,1,7.58,7.7,1,3,1,53.07,82.24,Average
79.85,8.56,86.83,75.15,80.53,85.52,0,8.1,7.9,0,2,1,74.76,91.1,Good
64.77,6.23,54.13,49.94,62.03,43.66,0,6.55,6.2,1,2,1,51.73,69.58,Average
74.95,4.11,51.96,60.15,58.27,48.58,3,5.85,9.6,1,1,1,50.14,58.38,Average
91.76,10.98,94.74,92.46,98.85,84.0,0,8.86,8.4,1,2,1,93.52,98.73,Excellent
47.49,2.6,43.59,44.64,22.16,54.05,1,4.8,4.0,1,2,1,22.02,50.19,Poor
95.87,12.0,89.54,94.7,86.16,94.79,0,8.9,6.5,1,0,1,90.74,94.9,Excellent
60.32,4.44,50.21,72.37,53.17,52.64,2,6.75,8.6,0,3,1,69.48,77.77,Average
37.35,3.54,41.61,41.39,46.67,33.96,5,4.17,6.7,1,3,0,27.61,47.47,Poor
74.02,6.43,60.15,57.32,61.26,60.47,1,4.99,6.3,0,2,1,55.65,76.31,Average
47.63,2.14,38.37,31.6,25.96,33.44,4,5.37,6.1,1,3,1,36.43,50.53,Poor
72.09,6.26,84.84,75.47,63.46,66.7,0,8.6,6.4,1,3,1,58.25,85.68,Good
90.04,7.93,62.76,79.73,86.34,75.93,1,8.15,4.0,1,2,0,82.6,88.33,Good
65.53,3.45,45.26,45.37,56.24,59.56,3,6.48,8.6,1,4,1,60.92,72.18,Average
49.82,3.91,46.46,46.06,51.99,50.62,1,5.49,6.7,1,3,1,59.15,68.45,Average
78.62,5.24,83.99,75.9,79.56,87.7,2,8.32,9.5,1,2,1,73.63,88.08,Good
39.89,3.81,48.25,42.41,38.67,29.49,8,5.71,6.6,1,3,0,35.07,57.96,Poor
72.45,6.3,46.03,52.42,64.3,62.42,4,5.49,9.5,1,0,1,47.74,53.7,Average
75.66,6.62,66.53,73.31,66.26,84.81,0,6.75,4.8,0,2,1,76.25,72.25,Good
77.63,5.25,54.57,52.23,59.94,48.99,1,5.56,9.7,0,0,1,51.62,74.85,Average
82.7,5.74,83.0,64.11,74.95,74.69,0,7.54,8.3,0,2,1,65.89,77.26,Good
64.24,5.21,79.24,50.05,51.04,51.96,1,6.27,6.6,1,1,1,68.55,73.71,Average
71.09,4.23,59.71,67.68,65.62,60.81,2,5.83,8.0,1,1,0,44.42,75.77,Average
40.84,1.45,35.61,45.76,22.42,31.94,3,6.1,4.1,0,2,1,47.36,44.69,Poor
37.54,2.45,36.84,34.69,34.24,29.99,2,4.97,7.9,0,2,0,51.34,62.08,Poor
89.7,8.66,81.95,99.2,90.57,98.32,0,9.03,9.9,1,2,1,96.53,99.19,Excellent
81.8,6.55,79.53,71.48,64.77,67.25,0,6.99,6.8,1,2,1,75.14,97.12,Good
70.53,5.22,70.57,54.32,56.56,47.59,4,7.06,6.6,1,1,0,40.06,67.39,Average
44.56,2.7,31.84,48.37,28.28,33.65,5,6.88,7.3,1,3,0,35.78,66.43,Poor
81.61,7.69,71.22,90.11,75.64,76.29,1,7.55,6.0,1,2,1,72.32,86.83,Good
82.25,9.0,87.42,62.84,69.79,85.67,1,7.56,6.2,1,2,0,70.3,77.22,Good
86.97,6.63,84.29,83.07,71.5,84.36,0,8.29,7.6,0,1,0,71.31,85.96,Good
41.49,2.14,41.22,43.22,40.42,39.62,10,4.72,7.1,1,2,1,28.17,67.82,Poor
64.36,3.85,56.34,60.54,72.97,71.07,1,6.21,6.2,1,2,1,57.02,67.61,Average
34.93,1.07,24.21,32.74,46.13,35.69,6,3.22,4.9,1,2,1,41.16,66.45,Poor
48.64,0.5,40.34,38.78,55.62,44.5,4,3.51,5.8,1,2,1,40.33,56.44,Poor
52.52,6.27,64.86,68.04,66.41,74.48,0,5.5,7.8,1,2,1,66.85,60.41,Average
64.6,1.67,59.42,64.92,56.18,71.42,2,6.2,7.9,1,0,0,76.78,59.2,Average
61.74,4.31,59.82,55.62,65.07,54.9,2,7.13,5.6,1,2,1,38.9,57.54,Average
77.53,3.95,52.28,63.5,56.51,51.27,2,6.18,7.1,1,3,1,51.93,77.14,Average
46.91,1.82,47.24,39.79,36.88,43.13,6,3.43,7.0,0,3,1,33.09,53.49,Poor
96.95,6.02,99.33,88.81,97.43,96.21,0,8.95,6.5,1,2,0,86.99,87.86,Excellent
49.68,1.94,46.88,28.28,34.06,38.07,5,4.62,7.5,1,3,0,39.83,68.5,Poor
57.43,3.83,54.46,63.09,61.61,58.79,2,6.02,7.1,1,3,1,38.8,73.76,Average
100.0,9.36,91.33,96.82,93.55,94.97,0,9.32,5.7,1,1,1,92.83,99.25,Excellent
100.0,10.96,91.43,82.4,87.11,100.0,0,9.26,9.3,1,2,1,95.32,93.63,Excellent
94.19,10.59,68.65,76.44,70.01,76.39,0,7.86,9.5,1,2,1,79.64,78.73,Good
96.02,9.83,94.09,93.94,91.29,88.63,0,9.59,6.0,1,3,1,90.28,92.58,Excellent
79.92,7.39,69.96,74.94,87.33,83.76,2,8.25,8.0,1,2,1,87.74,85.42,Good
80.02,6.28,83.64,81.07,84.84,77.68,1,7.52,4.0,1,3,0,74.53,89.03,Good
81.28,6.25,64.48,78.15,85.33,74.92,0,7.63,6.5,1,0,0,87.0,97.81,Good
93.77,7.44,85.25,69.1,86.53,83.83,1,5.68,5.5,0,2,0,70.51,81.62,Good
55.73,1.26,33.32,32.85,43.96,34.23,6,3.91,5.9,1,2,1,27.22,53.9,Poor
90.26,6.31,67.74,69.66,76.05,76.76,0,8.19,7.4,1,3,1,74.18,82.81,Good
77.45,9.32,76.96,65.81,91.48,92.41,3,7.56,7.0,1,3,0,71.75,94.47,Good
70.31,3.14,55.39,49.86,53.42,47.7,3,5.85,8.3,1,3,1,64.43,82.99,Average
87.61,9.57,89.41,86.95,96.98,97.22,0,10.0,6.2,1,4,0,90.15,90.86,Excellent
100.0,9.33,98.53,93.23,95.87,97.01,1,9.67,7.7,1,3,1,90.79,98.13,Excellent
73.76,4.62,48.54,55.24,60.35,43.31,5,6.16,9.5,1,1,0,53.53,66.32,Average
52.87,0.5,47.54,21.06,37.79,25.36,6,4.73,7.0,1,1,1,33.02,54.07,Poor
89.67,9.22,85.38,90.03,86.97,93.31,0,9.48,7.4,1,0,1,87.88,94.2,Excellent
95.01,7.43,96.54,92.67,100.0,99.03,0,9.64,6.6,1,1,1,90.08,100.0,Excellent
55.32,2.91,67.38,50.43,53.43,62.3,0,5.76,7.0,1,3,0,44.22,67.65,Average
59.18,1.65,50.94,60.88,62.72,55.65,1,6.54,5.3,0,3,1,61.7,82.81,Average
30.0,2.2,57.85,36.17,38.2,41.36,6,5.41,4.0,0,2,0,22.9,57.68,Poor
59.37,7.69,36.81,56.56,73.81,58.97,3,6.41,6.3,1,2,0,48.8,66.1,Average
54.89,3.48,41.43,28.08,41.91,53.28,5,5.53,7.9,1,2,1,34.21,56.01,Poor
88.83,8.42,77.12,73.42,75.3,68.97,0,6.32,6.2,1,1,1,72.32,85.77,Good
69.86,6.52,67.47,61.76,60.09,50.15,3,6.52,5.3,1,3,1,70.34,60.3,Average
77.48,9.29,75.52,72.82,87.75,69.96,1,7.24,7.2,0,4,1,68.73,78.0,Good
60.63,2.66,68.41,53.33,51.31,58.24,2,6.22,5.9,1,0,1,36.14,62.79,Average
99.95,11.0,92.36,99.32,97.31,88.39,0,9.44,8.2,1,3,0,91.33,97.69,Excellent
90.22,9.85,99.73,89.2,86.14,87.24,0,8.71,7.5,1,1,0,90.68,93.44,Excellent
77.37,7.43,78.15,50.68,73.35,73.76,0,8.52,8.3,1,1,0,79.69,100.0,Good
89.98,8.9,100.0,96.72,99.51,94.96,0,8.82,5.5,1,2,1,88.06,98.85,Excellent
88.51,9.46,99.68,83.36,83.66,92.95,0,9.36,6.4,1,2,1,98.99,88.94,Excellent
46.99,2.48,51.17,36.33,52.16,21.91,8,3.11,7.4,1,1,0,29.54,46.85,Poor
78.5,2.1,71.59,70.37,82.73,70.86,1,8.45,7.8,1,1,0,81.32,82.5,Good
61.88,6.98,64.63,64.47,72.86,65.22,0,7.08,8.3,1,3,1,43.73,76.06,Average
45.94,2.55,42.34,31.18,34.16,44.63,6,4.55,8.0,1,1,1,37.67,67.89,Poor
39.36,1.49,53.4,36.08,57.61,22.5,9,4.76,7.0,1,2,1,23.15,54.74,Poor
65.18,5.42,64.68,56.88,54.95,62.8,0,6.76,8.2,1,4,1,70.07,77.95,Average
53.98,1.28,42.93,40.0,32.35,57.54,6,4.65,7.3,1,2,1,46.67,69.81,Poor
77.97,8.17,82.21,80.72,86.28,69.37,0,8.52,4.4,1,2,1,72.93,94.46,Good
64.35,3.54,58.54,67.02,60.91,51.65,1,6.31,6.5,1,1,0,64.55,61.78,Average
49.72,4.68,62.62,47.41,71.36,51.42,2,6.71,6.4,1,3,0,53.58,73.74,Average
71.89,3.02,66.81,65.45,62.34,53.7,2,6.2,5.3,1,2,1,53.23,74.03,Average
39.5,4.19,29.05,35.0,42.24,46.89,8,4.23,6.5,1,3,1,32.39,73.52,Poor
37.39,2.97,36.01,29.54,40.7,24.94,5,5.77,8.8,1,2,1,28.66,63.61,Poor
86.42,3.15,81.59,55.17,55.26,60.62,1,5.19,6.9,1,2,0,53.09,82.78,Average
68.71,8.83,63.24,80.91,77.55,85.75,0,8.68,6.3,1,2,0,74.16,76.62,Good
59.31,8.11,69.04,63.49,63.57,60.4,3,5.95,6.2,0,4,0,53.08,66.51,Average
57.99,5.2,69.48,67.37,49.95,68.31,3,6.5,9.0,1,0,1,43.12,77.37,Average
86.37,7.37,81.33,59.03,60.1,68.25,1,6.96,6.3,1,1,1,69.02,86.62,Good
56.47,2.81,50.31,39.07,28.68,46.82,4,4.8,8.1,1,0,1,37.59,73.28,Poor
42.46,3.64,36.26,44.88,35.53,35.32,7,4.81,8.1,1,2,0,37.57,49.6,Poor
59.32,3.4,51.69,57.86,53.61,59.77,1,6.62,7.3,1,2,1,52.64,69.6,Average
60.61,2.91,36.84,56.68,42.62,32.32,3,4.61,7.9,1,2,1,40.72,67.72,Poor
70.63,4.13,52.59,50.42,48.47,54.47,3,5.84,6.7,0,2,0,73.72,78.54,Average
78.31,9.79,86.79,92.8,85.87,92.91,0,10.0,8.7,1,2,0,86.98,99.66,Excellent
79.41,10.88,75.08,75.22,68.91,83.12,0,7.57,7.5,1,1,0,77.59,87.24,Good
87.53,10.13,87.1,86.61,91.88,90.05,1,9.29,5.5,1,3,1,91.06,96.73,Excellent
96.17,7.12,93.85,89.41,100.0,94.5,1,9.3,6.4,1,3,1,83.91,99.45,Excellent
75.12,9.21,72.8,81.94,68.79,78.15,1,8.06,8.3,0,2,1,71.35,78.65,Good
63.75,4.24,67.65,58.03,61.99,53.44,4,4.33,4.2,1,2,1,49.57,68.66,Average
82.09,3.94,55.41,66.5,44.58,46.15,3,6.11,5.8,0,2,0,47.5,74.42,Average
99.7,8.23,94.59,92.43,92.33,96.93,0,9.15,7.4,1,4,0,93.37,97.87,Excellent
95.41,12.0,84.85,91.89,89.46,95.52,0,9.0,4.6,1,3,1,85.09,95.8,Excellent
65.61,3.66,62.74,53.65,55.96,45.84,2,5.36,7.4,1,2,1,56.63,76.94,Average
33.35,4.99,56.47,44.78,33.97,38.09,8,5.68,4.5,1,2,1,31.51,67.61,Poor
37.57,4.95,58.99,59.12,60.43,47.39,4,6.0,7.9,1,0,1,52.92,89.28,Average
81.15,4.62,28.31,67.89,55.68,51.59,1,6.74,7.5,1,3,0,42.52,63.88,Average
49.9,1.86,46.83,46.13,38.77,32.7,6,5.49,10.0,1,2,0,31.16,54.04,Poor
38.57,4.58,69.43,49.62,64.68,61.44,3,6.03,6.6,1,0,1,71.08,59.41,Average
100.0,8.51,73.63,69.11,65.84,69.32,1,8.54,7.4,1,2,0,76.6,83.74,Good
63.35,3.53,48.71,52.01,68.29,63.99,1,6.39,5.8,0,1,0,59.7,63.44,Average
88.38,10.57,100.0,96.41,89.68,98.18,1,9.65,8.4,0,2,0,77.78,91.98,Excellent
100.0,8.83,100.0,91.92,100.0,94.04,0,10.0,8.5,1,3,1,94.39,95.25,Excellent
94.64,9.11,83.3,88.58,94.65,88.22,0,9.37,8.2,1,2,1,88.25,99.46,Excellent
44.21,2.74,40.7,29.49,51.55,24.04,5,5.38,6.8,1,2,1,38.69,63.47,Poor
55.74,2.47,60.19,56.63,60.7,57.87,3,5.95,8.9,1,1,1,57.53,77.17,Average
83.06,10.25,70.98,77.98,69.27,75.67,0,8.21,6.3,1,3,1,76.8,76.73,Good
48.36,3.09,37.78,42.3,30.68,26.19,5,5.41,7.7,1,1,1,22.94,65.44,Poor
60.54,2.37,37.79,28.97,43.17,38.06,8,5.1,7.5,1,2,1,36.46,60.13,Poor
100.0,6.45,100.0,83.97,90.86,92.3,1,8.72,7.4,1,1,0,93.8,93.69,Excellent
51.08,2.32,32.89,42.52,38.37,24.44,6,4.24,7.2,1,1,1,40.93,55.19,Poor
61.59,1.83,33.34,35.25,30.17,37.33,6,3.35,6.1,0,1,1,38.63,50.41,Poor
47.92,0.5,45.2,44.41,27.03,28.28,7,5.27,6.9,1,1,1,29.54,45.17,Poor
94.76,7.67,100.0,85.76,92.39,92.34,0,9.82,7.6,1,1,1,100.0,92.12,Excellent
73.63,3.04,58.09,53.56,52.1,63.93,3,8.25,6.6,1,1,0,51.39,87.66,Average
53.73,2.66,49.32,39.04,48.27,46.69,2,4.01,8.7,1,1,0,45.31,52.43,Poor
73.01,4.9,85.07,71.58,77.11,71.38,1,7.57,6.1,1,2,1,71.46,94.95,Good
52.61,3.7,45.16,44.17,37.43,28.1,3,4.8,8.8,1,1,0,50.41,58.15,Poor
94.23,7.46,92.88,94.85,95.53,96.44,0,9.2,8.1,0,3,1,98.32,94.4,Excellent
