Attendance_Percentage,Study_Hours_Per_Day,Previous_Academic_Marks,Internal_Assessment_Marks,Assignment_Score,Practical_Lab_Score,Number_of_Backlogs,Previous_Semester_GPA,Sleep_Hours,Internet_Access,Parental_Education,Extracurricular_Activities,Class_Participation,Assignment_Submission_Rate,Performance_Category,Academic_Consistency,Overall_Academic_Score,Engagement_Score,Study_Efficiency,Parental_Education_Label,Performance_Label
43.0,3.01,35.96,25.94,49.65,48.13,3.0,6.14,8.2,1,2,1,40.62,65.79,Poor,11.15,41.17,53.2,0.75,Graduate,0
88.09,10.67,100.0,87.43,92.19,94.58,0.0,10.0,7.1,1,1,1,89.29,92.59,Excellent,5.23,94.21,90.94,10.67,High_School,3
35.11,2.26,51.33,42.8,39.98,34.29,7.5,4.33,5.6,1,2,1,52.31,62.29,Poor,7.1,42.72,57.3,0.27,Graduate,0
72.82,9.35,69.75,87.9,77.01,87.63,0.0,7.9,7.5,1,2,1,68.15,85.38,Good,8.82,80.24,76.76,9.35,Graduate,2
83.21,6.03,68.43,64.69,66.44,67.01,1.0,7.38,7.2,1,2,1,76.24,88.8,Good,1.55,67.35,82.52,3.02,Graduate,2
67.42,9.74,70.67,73.97,71.18,73.99,1.0,7.81,7.4,1,2,1,70.23,92.97,Good,1.78,73.0,81.6,4.87,Graduate,2
40.97,2.08,49.39,40.11,27.38,32.58,3.0,5.15,6.4,1,3,0,46.91,75.67,Poor,9.57,39.52,61.29,0.52,Post_Graduate,0
96.8,8.78,91.99,90.04,100.0,95.16,1.0,9.94,8.3,1,2,1,92.08,93.64,Excellent,4.35,94.48,92.86,4.39,Graduate,3
43.1,1.85,49.23,40.66,29.66,34.74,5.0,4.95,8.7,1,2,1,46.08,61.05,Poor,8.41,40.3,53.56,0.31,Graduate,0
94.26,10.87,85.78,95.03,99.51,100.0,0.0,9.32,9.4,1,3,0,89.43,96.56,Excellent,6.59,94.42,93.0,10.87,Post_Graduate,3
53.77,4.18,54.86,53.61,55.69,56.91,2.0,7.12,5.2,1,0,1,51.99,72.65,Average,1.39,56.76,62.32,1.39,None,1
87.09,7.77,80.33,76.98,93.73,80.67,0.0,7.43,6.9,1,2,0,73.47,85.36,Good,7.39,81.64,79.41,7.77,Graduate,2
66.05,4.7,56.33,49.9,53.69,58.82,0.0,7.17,4.0,1,0,0,66.09,70.08,Average,3.82,56.23,68.09,4.7,None,1
64.38,5.26,51.67,67.07,48.85,53.47,0.0,6.65,9.9,1,4,0,50.72,76.59,Average,8.1,56.8,63.66,5.26,Doctorate,1
73.72,5.53,80.02,74.06,75.53,80.67,0.0,7.98,6.2,1,3,1,74.57,89.5,Good,3.27,77.74,82.04,5.53,Post_Graduate,2
88.41,7.92,78.88,78.47,80.12,73.94,0.0,8.65,4.0,1,1,1,59.48,89.52,Good,2.7,78.8,74.5,7.92,High_School,2
39.49,1.72,53.44,29.65,20.0,34.83,5.0,3.63,6.1,1,1,1,37.71,67.14,Poor,14.05,35.37,52.42,0.29,High_School,0
89.64,7.97,81.31,86.77,71.22,76.25,0.0,9.02,7.2,1,2,0,64.68,73.07,Good,6.68,80.53,68.88,7.97,Graduate,2
68.62,4.68,58.09,47.61,61.86,51.95,2.0,6.22,7.3,1,3,1,55.4,79.99,Average,6.34,55.41,67.69,1.56,Post_Graduate,1
50.07,2.19,32.34,41.3,33.34,33.89,5.0,4.81,5.6,1,3,0,24.65,51.93,Poor,4.11,36.67,38.29,0.36,Post_Graduate,0
58.2,3.18,41.64,47.0,55.23,45.03,6.0,5.02,5.9,1,3,1,33.18,50.91,Poor,5.78,47.23,42.04,0.45,Post_Graduate,0
88.34,11.14,96.46,96.43,89.97,84.04,0.0,9.27,7.6,1,3,1,93.06,95.28,Excellent,5.96,92.29,94.17,11.14,Post_Graduate,3
93.52,10.63,94.41,88.39,96.66,100.0,0.0,8.26,5.6,1,1,1,92.73,100.0,Excellent,4.89,93.29,96.36,10.63,High_School,3
40.83,1.36,43.38,39.61,50.73,33.46,6.0,3.96,5.3,1,3,0,34.72,51.01,Poor,7.22,41.55,42.86,0.19,Post_Graduate,0
76.05,8.13,78.82,77.49,71.06,85.11,1.0,7.02,6.1,1,1,1,75.2,92.93,Good,5.76,77.33,84.06,4.07,High_School,2
99.96,8.11,96.16,95.45,93.29,94.19,1.0,9.76,8.2,1,1,0,96.86,91.43,Excellent,1.28,95.16,94.15,4.05,High_School,3
78.57,10.21,74.05,83.85,81.37,74.16,1.0,7.81,10.0,1,3,1,87.65,79.98,Good,5.01,78.39,83.82,5.11,Post_Graduate,2
100.0,11.59,96.86,90.92,91.14,94.16,0.0,9.29,8.2,1,4,0,93.44,90.46,Excellent,2.81,93.29,91.95,11.59,Doctorate,3
76.33,9.53,79.47,76.78,68.95,67.29,0.0,5.84,8.6,1,1,1,81.6,86.11,Good,5.92,72.15,83.85,9.53,High_School,2
46.05,1.89,50.46,52.63,26.9,24.71,6.0,4.82,4.5,1,2,1,48.21,64.67,Poor,14.91,40.91,56.44,0.27,Graduate,0
76.8,7.26,73.91,67.06,74.0,80.15,0.0,7.85,8.1,1,2,0,72.98,85.16,Good,5.35,73.92,79.07,7.26,Graduate,2
90.0,5.29,72.4,78.8,87.77,73.36,0.0,9.08,7.0,1,0,1,70.76,93.97,Good,7.05,79.11,82.36,5.29,None,2
81.94,7.47,78.75,76.42,73.31,82.26,2.0,7.95,6.2,1,2,1,71.06,76.05,Good,3.78,77.86,73.56,2.49,Graduate,2
90.09,8.86,83.64,94.86,84.84,86.36,2.0,8.89,5.4,1,1,1,90.94,91.77,Excellent,5.08,87.76,91.35,2.95,High_School,3
95.58,8.67,93.41,99.02,96.93,90.44,0.0,10.0,5.7,1,2,0,92.84,93.44,Excellent,3.79,95.58,93.14,8.67,Graduate,3
71.48,7.74,70.25,80.1,79.24,62.72,2.0,7.86,5.9,1,0,0,66.63,84.46,Good,8.22,73.84,75.54,2.58,None,2
60.44,4.31,55.82,48.53,56.8,60.15,3.0,5.31,7.7,1,2,0,58.9,81.96,Average,4.89,54.79,70.43,1.08,Graduate,1
70.19,9.48,78.58,68.91,75.9,84.77,0.0,7.32,4.9,1,3,0,70.03,92.85,Good,6.57,76.33,81.44,9.48,Post_Graduate,2
91.56,10.8,99.55,91.77,92.36,96.51,0.0,9.07,7.9,1,0,0,91.74,90.42,Excellent,3.67,94.67,91.08,10.8,None,3
43.21,1.74,34.01,38.64,43.78,37.29,6.0,3.64,4.8,1,2,1,36.26,48.72,Poor,4.06,38.02,42.49,0.25,Graduate,0
84.33,9.76,74.82,64.81,84.21,70.67,1.0,7.96,4.0,1,4,1,74.29,81.97,Good,8.16,73.84,78.13,4.88,Doctorate,2
53.04,2.58,36.1,23.74,36.86,47.01,7.0,6.09,6.5,1,2,0,27.46,70.42,Poor,9.53,37.82,48.94,0.32,Graduate,0
82.08,9.93,71.92,69.99,78.18,88.15,0.0,7.69,6.9,1,3,0,78.84,92.65,Good,8.18,76.43,85.74,9.93,Post_Graduate,2
55.21,4.28,65.02,48.5,61.45,67.72,1.0,7.46,8.3,1,0,1,60.27,57.62,Average,8.51,61.67,58.94,2.14,None,1
92.25,8.84,94.4,98.65,91.02,80.55,1.0,9.52,5.1,1,3,1,94.64,94.88,Excellent,7.73,92.1,94.76,4.42,Post_Graduate,3
88.16,10.78,95.65,83.12,96.05,96.9,0.0,9.27,7.5,1,2,1,96.34,93.57,Excellent,6.56,92.55,94.96,10.78,Graduate,3
88.25,10.52,99.79,85.02,94.38,93.12,0.0,9.53,9.5,1,2,0,87.25,100.0,Excellent,6.1,93.23,93.62,10.52,Graduate,3
86.94,10.14,89.89,95.03,93.37,88.37,0.0,8.41,8.1,1,4,1,90.14,88.1,Excellent,3.07,90.99,89.12,10.14,Doctorate,3
56.97,1.14,42.26,34.63,44.77,37.14,1.0,4.67,7.6,1,2,1,48.64,76.63,Poor,4.64,40.27,62.64,0.57,Graduate,0
59.59,5.45,59.18,46.76,52.12,59.59,0.0,7.19,4.6,1,2,1,53.3,68.33,Average,6.15,56.02,60.82,5.45,Graduate,1
67.04,8.68,71.75,74.27,73.53,74.68,4.0,7.01,10.0,1,3,0,81.97,80.9,Good,1.3,73.16,81.44,1.74,Post_Graduate,2
51.64,1.78,42.32,33.49,41.64,45.13,6.0,5.85,6.2,1,2,0,21.94,59.38,Poor,5.0,42.16,40.66,0.25,Graduate,0
59.2,2.45,50.2,37.1,46.0,41.23,3.0,4.9,8.6,1,3,1,37.38,47.99,Poor,5.69,44.17,42.68,0.61,Post_Graduate,0
83.94,5.51,75.85,74.78,70.79,75.77,1.0,7.55,9.2,1,0,0,72.47,83.15,Good,2.39,74.52,77.81,2.75,None,2
73.99,4.16,65.88,58.64,69.12,54.9,0.0,6.38,6.7,1,2,1,58.34,76.97,Average,6.52,62.31,67.66,4.16,Graduate,1
52.26,1.41,41.44,39.58,28.0,32.77,7.5,5.67,4.7,1,3,0,28.78,69.97,Poor,6.21,38.08,49.38,0.17,Post_Graduate,0
93.27,9.52,86.14,92.01,88.21,84.09,0.0,9.73,5.4,1,2,1,93.54,97.23,Excellent,3.38,88.73,95.38,9.52,Graduate,3
80.95,3.57,74.53,77.19,80.08,76.2,0.0,8.37,9.5,1,3,1,75.03,90.33,Good,2.33,77.56,82.68,3.57,Post_Graduate,2
82.21,9.23,88.67,92.33,83.01,99.1,1.0,9.36,7.2,1,3,0,98.81,88.55,Excellent,6.74,91.03,93.68,4.62,Post_Graduate,3
61.12,4.13,66.89,52.3,47.66,56.71,1.0,6.11,7.5,1,3,1,58.93,72.43,Average,8.21,56.78,65.68,2.06,Post_Graduate,1
73.19,8.97,75.82,68.74,69.84,90.04,0.0,8.03,4.0,1,2,1,76.84,94.99,Good,9.79,76.15,85.92,8.97,Graduate,2
61.05,5.6,64.42,59.46,60.09,62.49,1.0,4.93,4.6,1,0,1,59.84,67.09,Average,2.28,60.42,63.46,2.8,None,1
96.47,5.72,88.22,86.87,92.72,89.81,2.0,9.67,7.0,1,2,1,93.23,94.72,Excellent,2.52,89.95,93.98,1.91,Graduate,3
82.27,4.79,59.76,82.41,78.96,84.75,1.0,9.06,7.0,1,2,1,77.94,87.94,Good,11.39,77.34,82.94,2.4,Graduate,2
60.33,2.8,52.19,42.72,59.32,70.08,3.0,5.64,7.0,1,2,1,49.23,58.76,Average,11.55,55.25,54.0,0.7,Graduate,1
67.44,4.41,67.6,59.69,61.68,49.27,3.0,6.18,6.6,1,4,1,47.9,80.48,Average,7.64,60.19,64.19,1.1,Doctorate,1
41.5,0.75,27.4,34.23,55.61,41.17,3.0,3.49,4.0,1,1,0,25.23,56.72,Poor,12.06,38.25,40.98,0.19,High_School,0
79.52,8.05,91.15,65.92,87.12,83.31,1.0,7.43,7.9,1,3,0,76.3,96.56,Good,11.11,80.78,86.43,4.03,Post_Graduate,2
46.39,3.21,38.96,36.27,35.47,30.04,4.0,4.41,8.1,1,2,1,24.08,49.71,Poor,3.74,36.32,36.89,0.64,Graduate,0
54.4,3.16,71.26,58.26,60.81,58.85,2.0,6.37,6.8,1,3,1,52.31,72.34,Average,6.08,62.68,62.32,1.05,Post_Graduate,1
86.56,6.62,73.24,63.98,85.52,84.18,1.0,8.51,9.3,1,2,0,86.23,88.95,Good,10.12,76.76,87.59,3.31,Graduate,2
98.71,10.29,100.0,97.63,90.73,92.64,0.0,8.27,5.0,1,1,1,92.09,96.07,Excellent,4.3,94.35,94.08,10.29,High_School,3
50.73,2.72,44.32,36.41,44.73,44.44,6.0,4.83,5.8,1,2,0,32.41,56.5,Poor,4.05,42.85,44.46,0.39,Graduate,0
55.46,2.65,23.53,55.34,42.36,32.79,4.0,4.43,6.8,1,3,1,30.07,62.11,Poor,13.6,39.18,46.09,0.53,Post_Graduate,0
82.27,6.7,82.38,67.0,72.7,69.75,1.0,8.51,8.6,1,1,1,81.6,89.41,Good,6.7,74.34,85.5,3.35,High_School,2
59.17,4.39,67.65,54.35,57.02,72.79,0.0,5.4,7.9,1,2,0,35.02,74.1,Average,8.72,61.86,54.56,4.39,Graduate,1
62.95,4.85,41.47,55.32,69.0,68.12,2.0,6.53,6.3,1,3,1,48.25,73.32,Average,12.95,58.15,60.78,1.62,Post_Graduate,1
41.08,1.92,50.47,43.23,36.27,26.9,5.0,4.58,4.0,1,3,1,44.43,62.27,Poor,10.05,40.64,53.35,0.32,Post_Graduate,0
76.54,6.75,84.55,78.58,87.87,78.52,0.0,8.52,9.1,1,3,1,63.04,91.23,Good,4.63,82.58,77.14,6.75,Post_Graduate,2
91.1,8.27,96.75,94.59,94.54,94.44,0.0,10.0,8.5,1,0,1,98.72,98.83,Excellent,1.12,95.63,98.78,8.27,None,3
43.81,2.76,31.34,47.43,30.44,41.29,5.0,5.09,7.0,1,2,0,30.38,64.55,Poor,8.18,39.13,47.46,0.46,Graduate,0
67.27,3.18,70.73,62.31,55.94,43.12,2.0,5.48,7.6,1,1,1,44.18,59.83,Average,11.64,58.55,52.0,1.06,High_School,1
49.85,1.26,42.11,42.91,41.21,42.04,3.0,5.84,7.8,1,1,1,32.17,48.35,Poor,0.69,43.74,40.26,0.32,High_School,0
91.56,11.61,94.98,100.0,99.9,98.22,0.0,9.74,7.4,1,1,1,91.95,100.0,Excellent,2.34,98.11,95.98,11.61,High_School,3
69.44,3.54,60.73,55.57,58.25,64.13,2.0,7.11,6.8,1,1,0,48.81,73.56,Average,3.64,60.66,61.18,1.18,High_School,1
66.78,4.15,70.15,64.71,66.98,50.27,0.0,7.41,6.5,1,3,1,43.59,74.73,Average,8.79,64.58,59.16,4.15,Post_Graduate,1
89.52,10.33,96.46,89.65,98.26,86.35,2.0,9.05,5.7,1,1,1,94.1,93.97,Excellent,5.62,92.5,94.04,3.44,High_School,3
74.75,7.17,68.26,89.24,75.04,82.32,0.0,8.26,7.0,1,3,1,75.96,94.6,Good,9.07,79.11,85.28,7.17,Post_Graduate,2
76.78,5.88,72.2,77.87,82.82,61.3,2.0,8.71,7.3,1,2,1,72.79,92.49,Good,9.25,75.05,82.64,1.96,Graduate,2
72.36,7.12,74.08,79.92,83.8,70.63,0.0,6.87,8.6,1,1,0,75.16,84.14,Good,5.88,76.26,79.65,7.12,High_School,2
63.95,4.04,68.17,35.3,59.87,57.15,3.0,6.54,5.9,1,3,1,65.09,67.16,Average,14.02,55.81,66.12,1.01,Post_Graduate,1
68.3,3.91,54.22,73.59,48.42,57.53,3.0,8.47,6.4,1,2,0,50.25,86.49,Average,10.78,61.61,68.37,0.98,Graduate,1
85.92,9.66,91.26,95.63,94.23,95.62,0.0,8.71,6.6,1,2,1,93.12,92.8,Excellent,2.06,93.4,92.96,9.66,Graduate,3
58.98,3.79,64.75,56.74,54.87,71.32,1.0,6.77,5.4,1,3,1,41.95,76.34,Average,7.59,62.38,59.14,1.9,Post_Graduate,1
71.76,6.85,49.61,51.69,67.18,67.04,1.0,5.73,5.1,1,3,1,42.16,62.33,Average,9.54,57.9,52.24,3.42,Post_Graduate,1
78.66,7.2,80.07,85.41,79.88,73.22,0.0,8.65,8.9,1,2,1,70.62,83.21,Good,4.99,80.64,76.91,7.2,Graduate,2
86.69,7.44,72.24,80.65,81.87,79.0,0.0,7.84,8.5,1,4,0,66.76,99.11,Good,4.3,78.24,82.94,7.44,Doctorate,2
85.06,7.67,83.55,80.13,79.18,74.38,0.0,7.2,10.0,1,2,0,74.99,86.24,Good,3.78,78.83,80.61,7.67,Graduate,2
39.13,2.47,44.83,46.66,33.67,39.27,7.5,6.35,5.8,1,3,0,51.22,56.18,Poor,5.87,43.81,53.7,0.29,Post_Graduate,0
45.61,1.59,38.22,41.36,28.02,49.25,6.0,4.96,5.5,1,3,1,43.19,55.9,Poor,8.79,40.31,49.54,0.23,Post_Graduate,0
47.62,1.03,47.66,39.16,21.44,45.26,7.5,3.55,9.2,1,1,0,38.35,56.96,Poor,11.85,38.6,47.66,0.12,High_School,0
46.58,2.26,41.3,28.89,43.89,23.41,6.0,6.02,5.6,1,2,1,32.94,62.8,Poor,9.81,37.03,47.87,0.32,Graduate,0
69.55,1.63,64.28,51.57,62.46,56.02,2.0,6.23,6.7,1,1,1,44.37,77.94,Average,5.87,58.89,61.16,0.54,High_School,1
54.45,0.81,47.2,43.96,24.71,39.74,4.0,4.59,7.9,1,2,0,27.94,58.99,Poor,9.94,40.27,43.46,0.16,Graduate,0
91.19,10.72,79.38,100.0,96.66,93.24,0.0,8.93,7.6,1,1,0,92.78,93.29,Excellent,9.06,91.76,93.04,10.72,High_School,3
75.19,5.47,75.97,64.71,80.34,76.25,0.0,7.38,8.9,1,2,0,76.06,86.31,Good,6.71,73.87,81.18,5.47,Graduate,2
42.64,0.99,31.78,42.46,34.55,46.74,5.0,4.07,6.3,1,0,1,38.8,62.56,Poor,6.92,38.89,50.68,0.17,None,0
85.25,7.24,71.65,78.28,71.91,64.69,0.0,7.01,5.3,1,3,0,74.93,74.18,Good,5.55,71.81,74.56,7.24,Post_Graduate,2
70.36,5.32,79.17,73.39,72.69,80.72,0.0,7.94,9.0,1,4,1,69.24,82.37,Good,4.05,76.76,75.81,5.32,Doctorate,2
91.89,8.3,94.6,97.51,98.45,94.33,2.0,10.0,9.1,1,3,1,94.03,98.35,Excellent,2.07,96.58,96.19,2.77,Post_Graduate,3
79.48,6.21,72.99,69.45,78.64,74.77,1.0,8.43,6.6,1,1,1,78.3,83.43,Good,3.82,74.72,80.87,3.1,High_School,2
80.02,9.34,83.38,66.7,83.11,75.06,0.0,9.29,8.2,1,3,0,83.4,77.19,Good,7.91,78.44,80.3,9.34,Post_Graduate,2
81.68,9.38,82.03,83.29,81.29,66.77,1.0,7.71,5.5,1,2,1,78.52,83.77,Good,7.76,78.65,81.14,4.69,Graduate,2
92.37,11.25,93.61,90.44,99.17,89.06,0.0,10.0,4.0,1,2,1,92.09,91.97,Excellent,4.49,93.66,92.03,11.25,Graduate,3
59.41,6.21,75.34,60.32,52.59,50.32,4.0,6.4,8.0,1,1,1,74.14,55.71,Average,11.31,60.9,64.92,1.24,High_School,1
89.61,6.39,94.06,100.0,85.85,92.78,0.0,9.04,6.5,1,2,1,90.23,88.82,Excellent,5.81,93.28,89.52,6.39,Graduate,3
61.01,6.34,57.61,55.39,60.46,60.28,1.0,5.81,7.2,1,2,1,55.17,78.8,Average,2.41,58.21,66.98,3.17,Graduate,1
94.78,10.6,92.21,88.82,93.07,84.5,0.0,8.34,5.1,1,3,0,97.74,96.06,Excellent,3.89,89.11,96.9,10.6,Post_Graduate,3
53.35,2.54,48.23,58.15,57.48,33.51,4.0,5.96,4.3,1,2,1,30.84,57.38,Poor,11.48,50.75,44.11,0.51,Graduate,0
85.1,8.03,78.89,74.6,70.48,68.65,2.0,8.41,6.3,1,2,1,72.27,77.11,Good,4.56,74.61,74.69,2.68,Graduate,2
63.75,6.91,58.84,60.31,50.57,56.24,3.0,6.41,8.6,1,2,1,55.81,72.83,Average,4.29,57.56,64.32,1.73,Graduate,1
85.33,10.33,92.93,90.38,96.46,92.71,0.0,9.29,5.9,1,1,1,88.93,88.72,Excellent,2.51,92.95,88.82,10.33,High_School,3
76.5,7.35,67.57,70.69,81.19,77.41,0.0,7.21,7.8,1,4,1,75.48,93.2,Good,6.2,73.49,84.34,7.35,Doctorate,2
94.16,11.21,92.88,87.38,95.23,87.52,0.0,9.23,7.8,1,3,1,85.48,95.46,Excellent,3.93,90.85,90.47,11.21,Post_Graduate,3
74.86,5.01,74.22,69.94,74.45,80.77,0.0,7.56,7.1,1,3,0,74.9,87.05,Good,4.46,74.64,80.97,5.01,Post_Graduate,2
96.6,10.64,92.7,99.66,96.91,90.25,0.0,8.9,7.8,1,4,0,89.2,93.7,Excellent,4.21,94.42,91.45,10.64,Doctorate,3
44.1,3.06,44.03,48.59,46.38,29.59,7.0,4.85,7.0,1,2,1,28.3,48.16,Poor,8.58,43.2,38.23,0.38,Graduate,0
93.54,10.02,96.47,97.37,91.48,91.75,0.0,8.75,7.4,1,3,1,89.73,91.4,Excellent,3.09,93.86,90.56,10.02,Post_Graduate,3
70.89,4.72,75.63,76.61,80.53,73.38,1.0,8.48,7.3,1,2,1,61.31,83.42,Good,2.99,77.32,72.37,2.36,Graduate,2
78.4,9.66,70.27,65.84,82.05,80.84,0.0,7.52,8.2,1,2,0,71.43,87.05,Good,7.95,74.13,79.24,9.66,Graduate,2
94.53,12.0,96.12,92.81,97.8,90.53,0.0,9.4,5.2,1,3,0,89.96,93.94,Excellent,3.27,94.3,91.95,12.0,Post_Graduate,3
44.25,0.5,53.07,40.36,43.55,35.21,6.0,3.63,8.3,1,2,1,44.62,58.94,Poor,7.51,42.74,51.78,0.07,Graduate,0
47.29,3.46,40.1,43.08,47.02,37.43,6.0,4.38,5.3,1,1,1,23.14,50.96,Poor,4.12,42.07,37.05,0.49,High_School,0
66.18,6.38,79.73,78.52,73.64,84.69,1.0,7.5,8.1,1,1,1,68.92,81.76,Good,4.54,78.73,75.34,3.19,High_School,2
36.81,2.72,52.83,59.7,30.4,44.59,3.0,3.57,7.1,1,1,1,24.9,51.29,Poor,12.6,46.7,38.1,0.68,High_School,0
49.72,3.36,49.08,48.8,48.97,34.81,5.0,6.36,5.5,1,3,1,39.5,63.62,Poor,7.07,47.59,51.56,0.56,Post_Graduate,0
62.47,3.22,52.93,50.17,57.82,67.87,1.0,5.72,6.7,1,2,0,52.92,60.42,Average,7.79,56.63,56.67,1.61,Graduate,1
97.27,10.14,93.38,87.67,93.64,98.16,1.0,8.45,7.8,1,0,1,89.01,88.74,Excellent,4.3,92.07,88.88,5.07,None,3
49.55,3.19,36.33,35.02,35.9,32.59,6.0,5.02,5.2,1,3,1,42.32,55.48,Poor,1.67,36.56,48.9,0.46,Post_Graduate,0
61.3,1.2,43.01,58.27,64.91,61.0,5.0,4.94,6.6,1,2,0,47.76,58.04,Average,9.59,55.44,52.9,0.2,Graduate,1
75.17,7.56,74.85,74.21,62.03,67.44,2.0,6.88,6.9,1,4,1,67.12,78.33,Good,6.08,70.04,72.72,2.52,Doctorate,2
93.21,12.0,94.73,92.6,91.38,95.19,0.0,8.8,7.0,1,1,0,100.0,99.37,Excellent,1.8,92.95,99.68,12.0,High_School,3
72.45,8.07,74.01,67.4,94.24,68.63,0.0,7.82,8.2,1,2,0,76.05,76.12,Good,12.45,75.75,76.09,8.07,Graduate,2
94.31,8.78,88.21,84.63,95.53,86.23,1.0,9.35,6.4,1,1,0,88.88,99.64,Excellent,4.81,88.91,94.26,4.39,High_School,3
74.65,8.81,71.53,81.01,76.32,62.67,2.0,7.06,8.2,1,4,0,72.23,64.5,Good,7.83,72.99,68.37,2.94,Doctorate,2
98.82,9.97,88.64,83.63,90.57,89.41,0.0,8.59,7.5,1,2,1,96.47,97.67,Excellent,3.06,87.65,97.07,9.97,Graduate,3
58.68,3.55,52.2,53.67,66.05,56.22,3.0,6.51,7.2,1,2,1,43.74,68.97,Average,6.24,57.43,56.36,0.89,Graduate,1
52.22,6.13,57.77,51.11,44.17,55.85,2.0,6.48,7.2,1,3,0,57.0,69.89,Average,6.06,53.7,63.44,2.04,Post_Graduate,1
96.06,9.56,79.4,86.05,97.1,81.85,0.0,9.29,8.1,1,2,0,92.68,86.46,Excellent,7.83,86.44,89.57,9.56,Graduate,3
74.76,2.69,47.71,56.91,54.99,59.16,2.0,6.81,4.9,1,3,1,59.27,73.82,Average,4.96,55.8,66.54,0.9,Post_Graduate,1
75.59,4.86,67.97,75.77,73.49,71.01,0.0,7.84,7.4,1,2,0,80.1,90.46,Good,3.35,72.68,85.28,4.86,Graduate,2
51.03,1.58,37.02,48.79,44.91,20.96,0.0,4.15,6.1,1,1,1,29.71,63.53,Poor,12.32,38.78,46.62,1.58,High_School,0
92.08,10.81,91.4,89.28,95.66,100.0,2.0,9.17,6.5,1,1,1,100.0,91.78,Excellent,4.75,93.47,95.89,3.6,High_School,3
36.81,4.14,38.42,44.84,53.59,20.48,7.0,5.59,7.1,1,2,0,34.71,63.67,Poor,14.02,41.22,49.19,0.52,Graduate,0
58.5,5.62,59.25,63.52,68.7,63.53,0.0,5.91,7.0,1,2,1,55.74,62.76,Average,3.87,63.05,59.25,5.62,Graduate,1
42.15,2.19,31.71,39.13,55.2,47.18,7.0,5.7,6.6,1,4,1,47.32,53.07,Poor,10.14,43.89,50.2,0.27,Doctorate,0
44.78,1.12,51.78,41.56,28.45,44.5,1.0,5.14,6.1,1,2,0,32.4,70.46,Poor,9.75,43.07,51.43,0.56,Graduate,0
70.69,4.56,64.28,72.13,68.31,58.75,2.0,5.5,7.3,1,3,0,45.53,71.82,Average,5.73,65.01,58.68,1.52,Post_Graduate,1
100.0,9.85,94.14,97.26,89.95,94.33,1.0,8.88,7.4,1,1,1,96.82,96.61,Excellent,3.01,93.59,96.72,4.92,High_School,3
74.17,5.37,56.44,62.34,60.6,68.55,2.0,5.76,8.4,1,0,1,67.55,84.08,Average,5.03,61.28,75.82,1.79,None,1
68.23,7.06,75.75,65.16,77.08,82.61,1.0,7.92,8.0,1,1,1,74.91,81.06,Good,7.29,75.09,77.98,3.53,High_School,2
53.05,2.72,28.66,49.67,59.98,39.37,6.0,4.63,5.3,1,4,0,39.07,57.95,Poor,13.46,44.08,48.51,0.39,Doctorate,0
91.18,7.76,98.78,90.01,87.66,91.66,0.0,8.66,10.0,1,4,1,92.65,100.0,Excellent,4.79,91.72,96.32,7.76,Doctorate,3
44.3,1.25,41.66,43.9,39.8,37.26,3.0,5.53,9.8,1,4,0,37.39,51.31,Poor,2.82,42.33,44.35,0.31,Doctorate,0
84.98,10.4,93.14,90.77,93.33,93.22,1.0,9.14,8.0,1,0,0,94.42,94.86,Excellent,1.23,92.43,94.64,5.2,None,3
60.03,7.08,52.86,53.17,56.42,48.28,2.0,6.33,6.4,1,2,0,57.67,72.05,Average,3.35,53.78,64.86,2.36,Graduate,1
84.06,9.62,72.1,77.19,81.37,69.55,0.0,9.91,6.9,1,3,0,76.96,86.81,Good,5.27,77.42,81.88,9.62,Post_Graduate,2
79.87,6.04,76.18,67.87,88.74,67.01,0.0,6.59,6.0,1,4,1,71.41,92.77,Good,10.08,73.75,82.09,6.04,Doctorate,2
73.13,5.39,77.25,74.27,83.39,75.94,0.0,6.66,7.3,1,1,1,94.83,83.27,Good,3.98,76.41,89.05,5.39,High_School,2
65.96,2.55,62.62,55.15,60.23,63.58,1.0,6.62,7.9,1,2,1,71.79,71.4,Average,3.77,60.82,71.6,1.27,Graduate,1
77.69,4.95,89.46,74.67,77.8,79.6,0.0,9.92,6.0,1,4,0,73.19,89.57,Good,6.39,82.43,81.38,4.95,Doctorate,2
66.53,5.54,74.3,40.61,59.46,67.53,2.0,7.13,5.7,1,0,1,66.54,74.25,Average,14.57,61.26,70.4,1.85,None,1
100.0,7.44,91.79,88.29,100.0,95.49,0.0,8.95,7.1,1,2,0,84.13,95.56,Excellent,5.02,93.07,89.84,7.44,Graduate,3
66.01,5.5,64.38,72.17,46.25,48.38,3.0,5.08,6.5,1,2,1,69.93,59.54,Average,12.54,58.14,64.74,1.38,Graduate,1
40.13,1.43,44.45,35.24,44.9,31.17,4.0,5.62,8.4,1,1,0,24.93,47.59,Poor,6.83,40.76,36.26,0.29,High_School,0
42.24,1.3,37.27,35.91,34.92,40.67,5.0,4.1,9.1,1,2,1,37.57,38.27,Poor,2.51,37.51,37.92,0.22,Graduate,0
36.37,1.52,41.36,25.49,45.71,37.17,6.0,4.78,4.0,1,0,1,43.73,56.94,Poor,8.69,38.07,50.33,0.22,None,0
47.58,3.49,57.53,49.22,39.49,57.22,4.0,6.06,4.2,1,0,0,47.85,78.88,Average,8.5,52.09,63.36,0.7,None,1
